	expr	job_title	location_company	name_company	salary	time	url	url_company
0	3年以上 本科或以上	数据产品 	北京	美团点评	24-48万	1个月前	https://m.liepin.com/job/1917848771.shtml	https://m.liepin.com/company/2036768/
1	10年以上 大专或以上	数据产品专家 	北京-朝阳区	北京五八到家信息技术有限公司	35-56万	5小时前	https://m.liepin.com/job/1916171177.shtml	https://m.liepin.com/company/8644766/
2	3年以上 大专或以上	数据产品经理 	北京-朝阳区	北京五八到家信息技术有限公司	21-35万	5小时前	https://m.liepin.com/job/1917800127.shtml	https://m.liepin.com/company/8644766/
3	3年以上 本科或以上	数据产品经理 	北京	智慧图	26-52万	5小时前	https://m.liepin.com/job/1919893637.shtml	https://m.liepin.com/company/8027982/
4	3年以上 本科或以上	数据产品经理 	北京	北京点石经纬科技有限公司	18-30万	7小时前	https://m.liepin.com/job/1919459245.shtml	https://m.liepin.com/company/8327598/
5	5年以上 本科或以上	数据产品总监 	北京	品友互动	52-91万	12小时前	https://m.liepin.com/job/1915792042.shtml	https://m.liepin.com/company/1157027/
6	10年以上 本科或以上	数据产品经理 	北京-大兴区	京东物流	42-70万	13小时前	https://m.liepin.com/job/1918541847.shtml	https://m.liepin.com/company/9770323/
7	5年以上 本科或以上	数据产品 	北京	国内知名汽车行业互联网公司	40-64万	昨天	https://m.liepin.com/a/13261207.shtml	
8	5年以上 本科或以上	数据产品 	北京	港股上市企业	40-80万	2019-05-07	https://m.liepin.com/a/14285381.shtml	
9	5年以上 本科或以上	数据产品 	北京	大国企+BAT合资	42-84万	1个月前	https://m.liepin.com/a/13506569.shtml	
10	5年以上 本科或以上	数据产品 	北京	国内知名互联网集团	32-65万	14小时前	https://m.liepin.com/a/14768665.shtml	
11	5年以上 学历不限	数据产品总监 	北京	国内知名人工智能商业决策平台	52-91万	7小时前	https://m.liepin.com/a/14601003.shtml	
12	5年以上 学历不限	数据产品总监 	北京,上海,广州	某商业咨询及解决方案公司	45-90万	8小时前	https://m.liepin.com/a/14439477.shtml	
13	3年以上 本科或以上	数据产品经理 	北京-海淀区	中关村互联网上市公司	40-64万	9小时前	https://m.liepin.com/a/13424545.shtml	
14	2年以上 本科或以上	数据产品经理 	北京,上海,深圳	国际互联网企业	32-54万	12小时前	https://m.liepin.com/a/14797275.shtml	
15	4年以上 本科或以上	数据产品经理 	北京	TMD之一	24-48万	13小时前	https://m.liepin.com/a/14255307.shtml	
16	5年以上 本科或以上	数据产品总监 	北京	国内知名人工智能和大数据技术公司	36-60万	13小时前	https://m.liepin.com/a/14515773.shtml	
17	3年以上 本科或以上	数据产品经理 	北京,天津,石家庄	国内某知名车载网联领先企业	30-52万	14小时前	https://m.liepin.com/a/14518563.shtml	
18	3年以上 本科或以上	数据产品经理 	北京	一线BAT互联网公司	30-60万	14小时前	https://m.liepin.com/a/14235399.shtml	
19	3年以上 本科或以上	数据产品经理 	北京	某大型知名020互联网平台	37-67万	14小时前	https://m.liepin.com/a/13988795.shtml	
20	2年以上 本科或以上	数据产品顾问 	北京-朝阳区	某知名互联网企业	33-52万	14小时前	https://m.liepin.com/a/14777419.shtml	
21	3年以上 本科或以上	数据产品经理 	北京-海淀区	汽车之家	面议	14小时前	https://m.liepin.com/job/1916114343.shtml	https://m.liepin.com/company/886182/
22	3年以上 本科或以上	数据产品总监 	北京-朝阳区	某大型互联网公司	60-84万	14小时前	https://m.liepin.com/a/14305529.shtml	
23	3年以上 本科或以上	数据产品经理 	北京-海淀区	国内知名互联网平台	40-64万	15小时前	https://m.liepin.com/a/13289487.shtml	
24	5年以上 本科或以上	数据产品经理 	北京-海淀区	国内航母级互联网公司	39-49万	16小时前	https://m.liepin.com/a/14460627.shtml	
25	5年以上 本科或以上	数据产品经理 	北京-海淀区	慧科教育科技集团有限公司	18-26万	昨天	https://m.liepin.com/job/1918995881.shtml	https://m.liepin.com/company/9628698/
26	3年以上 本科或以上	数据产品经理 	北京	汽车之家	32-48万	昨天	https://m.liepin.com/job/1914525861.shtml	https://m.liepin.com/company/886182/
27	5年以上 本科或以上	数据产品经理 	北京	知名互联网和手机安全产品供应商	35-49万	昨天	https://m.liepin.com/a/13818321.shtml	
28	5年以上 本科或以上	数据产品经理 	北京	某著名互联网大数据服务商	48-64万	昨天	https://m.liepin.com/a/13505909.shtml	
29	2年以上 本科或以上	数据产品经理 	北京	某大数据人工智能独角兽企业	30-42万	昨天	https://m.liepin.com/a/13320137.shtml	
30	4年以上 本科或以上	数据产品经理 	北京-海淀区	知名互联网公司	40-64万	昨天	https://m.liepin.com/a/13280603.shtml	
31	3年以上 本科或以上	数据产品经理 	北京	互联网医疗公司（知名资本全资子公司）	18-30万	昨天	https://m.liepin.com/a/14766219.shtml	
32	3年以上 本科或以上	数据产品经理 	北京-海淀区	第四范式（北京）技术有限公司	18-36万	前天	https://m.liepin.com/job/1919562715.shtml	https://m.liepin.com/company/9208517/
33	5年以上 本科或以上	数据产品经理 	北京	知名新零售美资公司	28-49万	前天	https://m.liepin.com/a/14005177.shtml	
34	5年以上 本科或以上	数据产品总监 	北京-朝阳区	某互联网技术公司	60-72万	前天	https://m.liepin.com/a/14515255.shtml	
35	5年以上 学历不限	数据产品经理 	北京	某一线知名互联网	48-64万	前天	https://m.liepin.com/a/13553905.shtml	
36	3年以上 本科或以上	数据产品经理 	北京	某移动互联网行业高科技公司	24-42万	前天	https://m.liepin.com/a/14121453.shtml	
37	8年以上 学历不限	数据产品经理 	北京	某上市地产公司	52-60万	2019-05-10	https://m.liepin.com/a/14726873.shtml	
38	3年以上 本科或以上	数据产品经理 	北京	某知名互联网有限公司	24-48万	2019-05-10	https://m.liepin.com/a/14496929.shtml	
39	5年以上 本科或以上	数据产品专家 	北京,上海	某一线上市互联网公司	64-72万	2019-05-10	https://m.liepin.com/a/13342365.shtml	
40	3年以上 本科或以上	数据产品经理 	北京	小草数语（北京）科技有限公司	24-48万	2019-05-09	https://m.liepin.com/job/1917684897.shtml	https://m.liepin.com/company/9316196/
41	5年以上 本科或以上	数据产品经理 	北京-东城区,北京-西城区,北京-朝阳区	北京某互联网公司	36-72万	2019-05-09	https://m.liepin.com/a/14531353.shtml	
42	5年以上 本科或以上	数据产品经理 	北京,杭州,上海	全球某知名互联网公司（上市）	45-90万	2019-05-09	https://m.liepin.com/a/13467319.shtml	
43	3年以上 本科或以上	数据产品经理 	北京	行业top前三集团公司	45-65万	2019-05-09	https://m.liepin.com/a/14198147.shtml	
44	5年以上 本科或以上	数据产品总监 	北京	国内知名智能广告企业	60-84万	2019-05-09	https://m.liepin.com/a/14690865.shtml	
45	2年以上 本科或以上	数据产品经理 	北京	智能软硬件公司	24-48万	2019-05-08	https://m.liepin.com/a/13540161.shtml	
46	5年以上 本科或以上	数据产品经理 	北京,上海,深圳	知名互联网公司	52-78万	2019-05-08	https://m.liepin.com/a/13721949.shtml	
47	3年以上 本科或以上	数据产品经理 	北京	有品（PICOOC）	24-42万	2019-05-08	https://m.liepin.com/job/1916589811.shtml	https://m.liepin.com/company/7854130/
48	5年以上 本科或以上	数据产品经理 	北京	海虹企业（控股）股份有限公司北京分公司	22-36万	2019-05-06	https://m.liepin.com/job/1915740501.shtml	https://m.liepin.com/company/7865613/
49	3年以上 本科或以上	数据策略产品 	北京	国内知名地图、导航企业	40-64万	2019-05-06	https://m.liepin.com/a/13412883.shtml	
50	5年以上 本科或以上	数据产品经理 	北京	国内知名互联网公司	32-64万	2019-05-06	https://m.liepin.com/a/14601411.shtml	
51	4年以上 本科或以上	数据产品经理 	北京-朝阳区	马上消费金融股份有限公司	18-36万	2019-05-06	https://m.liepin.com/job/1919637581.shtml	https://m.liepin.com/company/8437464/
52	2年以上 本科或以上	数据产品经理 	北京-海淀区	国内知名大数据广告公司	28-49万	2019-05-05	https://m.liepin.com/a/14170871.shtml	
53	5年以上 本科或以上	数据产品经理 	北京-朝阳区	北京某知名科技有限公司	42-49万	2019-05-05	https://m.liepin.com/a/14603069.shtml	
54	5年以上 学历不限	数据产品总监 	北京,上海,广州	人工智能独角兽企业	65-91万	2019-04-30	https://m.liepin.com/a/13919257.shtml	
55	5年以上 学历不限	数据产品专家 	上海,北京,杭州	某一线互联网新零售事业部	40-64万	2019-04-30	https://m.liepin.com/a/13818367.shtml	
56	8年以上 本科或以上	数据产品总监 	北京-朝阳区	某数字营销一站式解决方案公司	58-84万	2019-04-30	https://m.liepin.com/a/14527213.shtml	
57	3年以上 本科或以上	数据产品经理 	北京	知名综合型上市公司	60-90万	2019-04-29	https://m.liepin.com/a/14562211.shtml	
58	3年以上 本科或以上	数据产品经理 	北京-海淀区	中国华戎科技集团有限公司	18-30万	2019-04-28	https://m.liepin.com/job/1919511001.shtml	https://m.liepin.com/company/9338400/
59	4年以上 本科或以上	数据产品经理 	北京	某互联网公司	32-52万	2019-04-25	https://m.liepin.com/a/13800109.shtml	
0	5年以上 本科或以上	数据产品总监 	北京-朝阳区	某知名互联网广告公司	60-84万	2019-04-23	https://m.liepin.com/a/14456625.shtml	
1	10年以上 本科或以上	数据产品总监 	北京	国内知名智慧物流企业	120-144万	2019-04-23	https://m.liepin.com/a/14445957.shtml	
2	5年以上 本科或以上	数据产品经理 	北京	jbxy	56-88万	2019-04-22	https://m.liepin.com/a/14421211.shtml	
3	5年以上 本科或以上	数据产品经理 	北京	某一线互联网公司	45-75万	2019-04-21	https://m.liepin.com/a/14401043.shtml	
4	3年以上 本科或以上	数据产品经理 	深圳,北京	  某金融集团旗下公司 	24-48万	2019-04-19	https://m.liepin.com/a/13708323.shtml	
5	5年以上 本科或以上	数据产品总监 	北京	某知名大型电商公司	64-96万	2019-04-18	https://m.liepin.com/a/14366643.shtml	
6	3年以上 本科或以上	数据产品经理 	北京-海淀区	独角兽准一线互联网公司	48-96万	2019-04-18	https://m.liepin.com/a/13733721.shtml	
7	5年以上 本科或以上	数据产品专家 	北京,上海	国内知名O2O平台	49-91万	2019-04-18	https://m.liepin.com/a/14273813.shtml	
8	7年以上 本科或以上	数据产品总监 	北京-朝阳区	人工智能商业决策平台	65-91万	2019-04-16	https://m.liepin.com/a/13887097.shtml	
9	5年以上 学历不限	数据产品专家 	北京,深圳,上海	中国网络视频行业的知名企业	30-60万	1个月前	https://m.liepin.com/a/14265661.shtml	
10	3年以上 本科或以上	数据产品经理 	北京-朝阳区	国内知名商业集团 某天街商场	42-60万	1个月前	https://m.liepin.com/a/14271905.shtml	
11	5年以上 本科或以上	数据产品总监 	北京,杭州,上海	知名互联网公司	128-176万	1个月前	https://m.liepin.com/a/13486785.shtml	
12	3年以上 本科或以上	数据产品经理 	北京	领先的零售APP	24-48万	1个月前	https://m.liepin.com/a/13363897.shtml	
13	3年以上 本科或以上	数据产品经理 	北京-海淀区	大众问问（北京）信息科技有限公司	23-53万	1个月前	https://m.liepin.com/job/1916179925.shtml	https://m.liepin.com/company/9212481/
