	expr	job_title	location_company	name_company	salary	time	url	url_company
0	2年以上 本科或以上	智能产品经理 	北京	北京百维博锐贸易有限公司	面议	1个月前	https://m.liepin.com/job/1911925995.shtml	https://m.liepin.com/company/7923457/
1	3年以上 本科或以上	产品智能音箱 	北京-朝阳区	北京博雅恒辉咨询顾问有限公司	60-105万	1个月前	https://m.liepin.com/job/1917164367.shtml	https://m.liepin.com/company/9813989/
2	7年以上 本科或以上	智能硬件产品总监 	北京-东城区	金恪集团	36-72万	昨天	https://m.liepin.com/job/1914716219.shtml	https://m.liepin.com/company/8608061/
3	1年以上 本科或以上	智能推荐产品经理 	北京-海淀区	大众问问（北京）信息科技有限公司	15-30万	1个月前	https://m.liepin.com/job/1919174443.shtml	https://m.liepin.com/company/9212481/
4	5年以上 本科或以上	智能硬件产品总监 	北京	北京眼神科技有限公司	30-42万	8小时前	https://m.liepin.com/job/1918123567.shtml	https://m.liepin.com/company/9881149/
5	3年以上 本科或以上	智能客服产品专家 	北京-朝阳区	美团点评	面议	13小时前	https://m.liepin.com/job/1918122247.shtml	https://m.liepin.com/company/2036768/
6	2年以上 学历不限	智能耳机产品经理 	北京	羽扇智	18-36万	2019-05-09	https://m.liepin.com/job/1910841994.shtml	https://m.liepin.com/company/8208121/
7	8年以上 本科或以上	智能产品总监 	北京	某健康医疗集团公司	49-70万	2019-05-06	https://m.liepin.com/a/14626727.shtml	
8	10年以上 本科或以上	智能硬件产品总监 	北京	某知名AI科技公司	60-78万	6小时前	https://m.liepin.com/a/14380463.shtml	
9	3年以上 大专或以上	智能硬件产品经理 	北京,上海,广东	XX集团	54-108万	9小时前	https://m.liepin.com/a/13911109.shtml	
10	10年以上 本科或以上	智能智造产品总监 	北京,广州,上海	国之重企 机械、工业互联	60-75万	2019-05-09	https://m.liepin.com/a/14411285.shtml	
11	7年以上 本科或以上	智能客服产品经理 	北京	知名在线旅游平台	40-64万	2019-05-09	https://m.liepin.com/a/14656937.shtml	
12	5年以上 本科或以上	智能设备产品专家 	杭州,上海,北京	国内Top互联网公司	48-96万	2019-05-05	https://m.liepin.com/a/13647391.shtml	
13	2年以上 本科或以上	智能投顾产品管理 	北京	京东商城	30-60万	2019-05-05	https://m.liepin.com/job/1919602637.shtml	https://m.liepin.com/company/215535/
14	5年以上 本科或以上	智能硬件产品VP 	北京,上海,深圳	北京某网络技术有限公司	36-48万	1个月前	https://m.liepin.com/a/14065527.shtml	
15	5年以上 本科或以上	智能硬件产品总监 	北京	天诚盛业	面议	1个月前	https://m.liepin.com/job/1916830041.shtml	https://m.liepin.com/company/933937/
16	4年以上 本科或以上	智能叉车产品经理 	北京-朝阳区	极智嘉科技	面议	1个月前	https://m.liepin.com/job/1918061391.shtml	https://m.liepin.com/company/8631177/
17	5年以上 本科或以上	智能硬件产品经理 	北京-朝阳区	泰康健投	27-39万	13小时前	https://m.liepin.com/job/1919873243.shtml	https://m.liepin.com/company/7006394/
18	5年以上 本科或以上	智能硬件产品经理 	北京	泰康健投	23-38万	1个月前	https://m.liepin.com/job/1918622281.shtml	https://m.liepin.com/company/7006394/
19	5年以上 本科或以上	智能硬件产品总监 	北京	四达软件北京	36-60万	1个月前	https://m.liepin.com/job/1915005017.shtml	https://m.liepin.com/company/973805/
20	3年以上 本科或以上	智能行政产品经理 	北京-海淀区	今日头条	面议	5小时前	https://m.liepin.com/job/1914934978.shtml	https://m.liepin.com/company/7863078/
21	3年以上 本科或以上	智能硬件产品经理 	北京-大兴区	京东商城	面议	昨天	https://m.liepin.com/job/1918933243.shtml	https://m.liepin.com/company/9747025/
22	5年以上 本科或以上	智能应急产品经理 	北京-海淀区	Baidu	24-48万	1个月前	https://m.liepin.com/job/1919190887.shtml	https://m.liepin.com/company/884492/
23	3年以上 本科或以上	智能客服产品经理 	北京	北京中关村科金技术有限公司	18-36万	1个月前	https://m.liepin.com/job/1919042815.shtml	https://m.liepin.com/company/9601933/
24	3年以上 本科或以上	智能硬件产品经理 	北京-海淀区	苏州涟漪信息科技有限公司	36-60万	1个月前	https://m.liepin.com/job/1917752613.shtml	https://m.liepin.com/company/9247748/
25	8年以上 本科或以上	智能化产品经理 	北京	北京金茂绿建科技有限公司	面议	1个月前	https://m.liepin.com/job/1911525797.shtml	https://m.liepin.com/company/9168043/
26	5年以上 本科或以上	智能硬件产品经理 	北京-海淀区	银河水滴科技（北京）有限公司	24-42万	12小时前	https://m.liepin.com/job/1919751387.shtml	https://m.liepin.com/company/8873297/
27	5年以上 本科或以上	智能硬件产品经理 	北京-大兴区	北京会播科技有限公司	18-24万	2019-05-09	https://m.liepin.com/job/1919736401.shtml	https://m.liepin.com/company/9628395/
28	3年以上 本科或以上	智能硬件产品经理 	北京	北京意锐新创科技有限公司	24-36万	1个月前	https://m.liepin.com/job/1916570497.shtml	https://m.liepin.com/company/949790/
29	5年以上 本科或以上	智能推荐产品经理 	北京-海淀区	中关村互联网上市公司	48-72万	9小时前	https://m.liepin.com/a/13424923.shtml	
30	5年以上 本科或以上	智能硬件产品经理 	北京-海淀区	清研讯科（北京）科技有限公司	21-42万	10小时前	https://m.liepin.com/job/1919879533.shtml	https://m.liepin.com/company/8601663/
31	5年以上 本科或以上	智能推荐产品经理 	北京	国内某领先汽车互联网平台	48-72万	前天	https://m.liepin.com/a/13459977.shtml	
32	3年以上 学历不限	智能手表产品经理 	北京	羽扇智	面议	2019-05-09	https://m.liepin.com/job/1910281298.shtml	https://m.liepin.com/company/8208121/
33	2年以上 本科或以上	智能电视产品经理 	北京	广州欢网科技有限责任公司	18-24万	2019-05-06	https://m.liepin.com/job/1918327227.shtml	https://m.liepin.com/company/956967/
34	经验不限 学历不限	智能硬件产品经理 	北京	ForwardX灵动科技	面议	2019-05-05	https://m.liepin.com/job/1917928077.shtml	https://m.liepin.com/company/9190361/
35	3年以上 大专或以上	智能教育产品经理 	北京-海淀区	北京玄历科技有限公司	12-19万	2019-04-26	https://m.liepin.com/job/1919470021.shtml	https://m.liepin.com/company/9631744/
36	5年以上 本科或以上	智能硬件产品管理 	北京	京东商城	面议	2019-04-26	https://m.liepin.com/job/1919465701.shtml	https://m.liepin.com/company/215535/
37	3年以上 本科或以上	智能语音产品经理 	北京-朝阳区	天际汽车科技集团有限公司	面议	1个月前	https://m.liepin.com/job/1917543673.shtml	https://m.liepin.com/company/9324493/
38	5年以上 本科或以上	智能推荐产品经理 	北京	某大型上市互联网公司	45-75万	1个月前	https://m.liepin.com/a/13328061.shtml	
39	3年以上 大专或以上	智能硬件产品经理 	北京-海淀区	北京函真数据技术有限公司	12-18万	1个月前	https://m.liepin.com/job/1917678489.shtml	https://m.liepin.com/company/9729642/
40	3年以上 学历不限	智能手表产品经理 	北京	羽扇智	18-36万	1个月前	https://m.liepin.com/job/1915886017.shtml	https://m.liepin.com/company/8208121/
41	5年以上 本科或以上	智能硬件产品经理 	北京	旷视科技	面议	1个月前	https://m.liepin.com/job/1911706269.shtml	https://m.liepin.com/company/7858396/
42	3年以上 本科或以上	智能硬件产品经理 	北京	深圳市商汤科技有限公司	面议	前天	https://m.liepin.com/job/1918345245.shtml	https://m.liepin.com/company/8652179/
43	3年以上 本科或以上	智能推荐产品经理 	北京-朝阳区	陕西郑远元健康管理有限公司	20-39万	1个月前	https://m.liepin.com/job/1915630383.shtml	https://m.liepin.com/company/9669699/
44	2年以上 本科或以上	智能语音产品经理 	北京-海淀区	大锤资产	20-33万	1个月前	https://m.liepin.com/job/1918594997.shtml	https://m.liepin.com/company/8891429/
45	5年以上 大专或以上	产品智能化总监 	北京	尚科创投（北京）科技孵化器有限公司	面议	1个月前	https://m.liepin.com/job/1916143987.shtml	https://m.liepin.com/company/8636081/
46	3年以上 本科或以上	智能推荐产品经理 	北京	爱奇艺	24-36万	1个月前	https://m.liepin.com/job/1916999839.shtml	https://m.liepin.com/company/1388777/
47	1年以上 学历不限	智能产品销售 	北京-大兴区	掌握主动科技（北京）有限公司	面议	2019-05-09	https://m.liepin.com/job/1915540824.shtml	https://m.liepin.com/company/8131317/
48	3年以上 本科或以上	智能客服产品运营 	北京	Baidu	18-36万	2019-04-24	https://m.liepin.com/job/1919415877.shtml	https://m.liepin.com/company/884492/
49	3年以上 大专或以上	智能产品销售 	北京-大兴区	掌握主动科技（北京）有限公司	面议	1个月前	https://m.liepin.com/job/1916396287.shtml	https://m.liepin.com/company/8131317/
50	1年以上 大专或以上	智能产品销售 	北京	数字家圆科技	10-20万	11小时前	https://m.liepin.com/job/1915682271.shtml	https://m.liepin.com/company/8345298/
