	expr	job_title	location_company	name_company	salary	time	url	url_company
0	4年以上 本科或以上	数据产品经理 	广州	广东触电传媒科技有限公司	14-29万	12小时前	https://m.liepin.com/job/199165315.shtml	https://m.liepin.com/company/8881795/
1	3年以上 本科或以上	数据产品经理 	广州	广东南方新媒体股份有限公司	8-14万	前天	https://m.liepin.com/job/1914012165.shtml	https://m.liepin.com/company/7889168/
2	6年以上 本科或以上	数据产品总监 	广州-黄埔区	广州云徙科技有限公司	36-60万	2019-05-08	https://m.liepin.com/job/1919621397.shtml	https://m.liepin.com/company/9392932/
3	5年以上 本科或以上	数据产品经理 	广州	广州云徙科技有限公司	26-52万	2019-05-08	https://m.liepin.com/job/1911523996.shtml	https://m.liepin.com/company/9392932/
4	2年以上 大专或以上	数据产品经理 	广州	影子数据	10-18万	1个月前	https://m.liepin.com/job/1910942938.shtml	https://m.liepin.com/company/8907817/
5	1年以上 大专或以上	数据产品专员 	广州	影子数据	7-12万	2019-05-06	https://m.liepin.com/job/1911977876.shtml	https://m.liepin.com/company/8907817/
6	3年以上 本科或以上	数据产品经理 	广州	广州舜飞信息科技有限公司	26-52万	2019-05-09	https://m.liepin.com/job/1911491570.shtml	https://m.liepin.com/company/7676787/
7	5年以上 学历不限	数据产品总监 	北京,上海,广州	某商业咨询及解决方案公司	45-90万	7小时前	https://m.liepin.com/a/14439477.shtml	
8	3年以上 本科或以上	数据产品经理 	深圳,广州	知名互联网上市集团公司	37-67万	昨天	https://m.liepin.com/a/14710335.shtml	
9	5年以上 本科或以上	数据产品经理 	广州	广东某某医药有限公司	32-52万	昨天	https://m.liepin.com/a/14780791.shtml	
10	3年以上 本科或以上	数据产品经理 	广州	某系统集成上市公司	45-75万	前天	https://m.liepin.com/a/14704041.shtml	
11	5年以上 学历不限	数据产品总监 	北京,上海,广州	人工智能独角兽企业	65-91万	2019-04-30	https://m.liepin.com/a/13919257.shtml	
12	3年以上 大专或以上	数据产品经理 	广州	国内某互联网公司	24-48万	2019-04-23	https://m.liepin.com/a/14449781.shtml	
13	2年以上 本科或以上	数据产品经理 	广州	国内知名互联网医药公司	19-39万	2019-04-23	https://m.liepin.com/a/14444531.shtml	
14	3年以上 本科或以上	数据产品经理 	广州	广州探迹科技有限公司	26-39万	1个月前	https://m.liepin.com/a/13981125.shtml	
15	2年以上 本科或以上	数据产品经理 	广州-黄埔区	某互联网教育上市公司	18-30万	昨天	https://m.liepin.com/a/13584575.shtml	
16	3年以上 本科或以上	数据产品经理 	广州-天河区	广州银行信用卡	面议	昨天	https://m.liepin.com/job/1917323389.shtml	https://m.liepin.com/company/8866590/
17	5年以上 本科或以上	数据产品经理 	广州-天河区	佳都新太科技	面议	13小时前	https://m.liepin.com/job/1919522277.shtml	https://m.liepin.com/company/2115085/
18	1年以上 本科或以上	数据产品经理 	广州	广州某初创互联网公司	18-36万	13小时前	https://m.liepin.com/a/14012115.shtml	
19	1年以上 本科或以上	数据产品经理 	广州	卓越教育集团	13-23万	昨天	https://m.liepin.com/job/1919270885.shtml	https://m.liepin.com/company/876848/
20	2年以上 本科或以上	数据产品经理 	广州	广州华骏电子商务有限责任公司	30-42万	前天	https://m.liepin.com/job/1919493823.shtml	https://m.liepin.com/company/9932713/
21	3年以上 本科或以上	数据产品经理 	广州	名创优品	18-30万	2019-05-08	https://m.liepin.com/job/1918477213.shtml	https://m.liepin.com/company/8392675/
22	2年以上 本科或以上	数据产品经理 	广州-番禺区	广州虎牙信息科技有限公司	18-36万	2019-05-05	https://m.liepin.com/job/1917787759.shtml	https://m.liepin.com/company/9287281/
23	2年以上 本科或以上	数据产品经理 	广州	广州虎牙信息科技有限公司	23-45万	2019-05-05	https://m.liepin.com/job/1917786573.shtml	https://m.liepin.com/company/9287281/
24	经验不限 本科或以上	数据产品经理 	广州	广州舜飞信息科技有限公司	23-39万	2019-04-18	https://m.liepin.com/job/1911539761.shtml	https://m.liepin.com/company/7676787/
25	2年以上 本科或以上	数据产品经理 	广州	某教育平台公司	18-36万	2019-04-18	https://m.liepin.com/a/14356637.shtml	
26	2年以上 学历不限	数据产品经理 	广州	知名线上教育集团	24-42万	1个月前	https://m.liepin.com/a/14082433.shtml	
27	经验不限 大专或以上	数据产品专员 	广州-黄埔区	广州佳境信息科技有限公司	7-10万	1个月前	https://m.liepin.com/job/1915765070.shtml	https://m.liepin.com/company/9698877/
28	2年以上 本科或以上	数据产品经理 	广州	爱拍网络	10-18万	12小时前	https://m.liepin.com/job/1919358747.shtml	https://m.liepin.com/company/8075338/
29	3年以上 大专或以上	数据产品经理 	广州	某知名高速发展互联网企业	19-39万	2019-05-05	https://m.liepin.com/a/14596193.shtml	
30	3年以上 本科或以上	数据产品经理 	广州	思特奇信息技术	14-24万	2019-04-19	https://m.liepin.com/job/1919330655.shtml	https://m.liepin.com/company/8638211/
31	2年以上 本科或以上	数据产品经理 	广州-黄埔区	健客网	22-43万	1个月前	https://m.liepin.com/job/1912011584.shtml	https://m.liepin.com/company/582047/
32	3年以上 本科或以上	数据产品经理 	广州-番禺区	SHEIN	18-30万	1个月前	https://m.liepin.com/job/1917362537.shtml	https://m.liepin.com/company/8706847/
33	2年以上 本科或以上	数据产品经理 	广州-天河区	某信息技术有限公司	12-18万	1个月前	https://m.liepin.com/a/13557955.shtml	
34	1年以上 本科或以上	数据产品经理 	广州	美的集团电商事业部	面议	13小时前	https://m.liepin.com/job/1918411541.shtml	https://m.liepin.com/company/8379212/
35	经验不限 学历不限	数据产品经理 	广州-天河区	赫基（中国）集团股份有限公司	30-42万	2019-05-07	https://m.liepin.com/job/1917713105.shtml	https://m.liepin.com/company/9118141/
36	3年以上 学历不限	数据产品经理 	广州	广州某咨询有限公司	24-36万	2019-05-07	https://m.liepin.com/a/14418619.shtml	
37	3年以上 本科或以上	数据产品经理 	广州	恒峰信息技术有限公司	12-18万	2019-05-05	https://m.liepin.com/job/1916674555.shtml	https://m.liepin.com/company/9207863/
38	3年以上 本科或以上	数据产品经理 	广州-黄埔区	蓝月亮	12-24万	1个月前	https://m.liepin.com/job/1916843157.shtml	https://m.liepin.com/company/7859092/
39	1年以上 大专或以上	数据产品经理 	广州	广州***网络科技股份有限公司	15-22万	昨天	https://m.liepin.com/a/14664715.shtml	
40	1年以上 本科或以上	数据产品专员 	广州-黄埔区	蓝月亮	10-18万	1个月前	https://m.liepin.com/job/1916843183.shtml	https://m.liepin.com/company/7859092/
41	2年以上 本科或以上	数据产品经理 	广州	互联网+人力资源服务供应链大数据平台公司	19-39万	10小时前	https://m.liepin.com/a/13357577.shtml	
42	3年以上 大专或以上	数据产品经理 	广州	深圳市前海远智教育科技发展有限公司	18-30万	昨天	https://m.liepin.com/job/1919561585.shtml	https://m.liepin.com/company/9279274/
43	1年以上 大专或以上	数据产品经理 	广州-天河区	某某手盟网络广州分公司	14-22万	2019-05-08	https://m.liepin.com/a/14675523.shtml	
