	expr	job_title	location_company	name_company	salary	time	url	url_company
0	5年以上 本科或以上	智能交通产品经理 	广州	广东方纬科技有限公司	21-28万	14小时前	https://m.liepin.com/job/1919385403.shtml	https://m.liepin.com/company/7952002/
1	2年以上 本科或以上	高级智能产品分析师 	广州	名创优品	18-30万	13小时前	https://m.liepin.com/job/1914067473.shtml	https://m.liepin.com/company/8392675/
2	5年以上 本科或以上	智能家居产品总监 	广州-番禺区	广东金朋科技有限公司	面议	2019-05-05	https://m.liepin.com/job/1915609755.shtml	https://m.liepin.com/company/8306654/
3	3年以上 本科或以上	APP智能客服产品管理 	广州	广汽新能源汽车有限公司	16-28万	1个月前	https://m.liepin.com/job/1917717463.shtml	https://m.liepin.com/company/9264179/
4	3年以上 本科或以上	智能汽车产品规划经理 	广州-南沙区	广汽蔚来新能源汽车科技有限公司	面议	2019-04-28	https://m.liepin.com/job/1915051093.shtml	https://m.liepin.com/company/9550328/
5	3年以上 本科或以上	智能客服产品负责人 	广州-天河区	网易集团	面议	2019-04-30	https://m.liepin.com/job/1919565895.shtml	https://m.liepin.com/company/5964833/
6	3年以上 本科或以上	产品经理（智能客服） 	广州	广州云徙科技有限公司	19-30万	2019-05-08	https://m.liepin.com/job/1918132995.shtml	https://m.liepin.com/company/9392932/
7	10年以上 本科或以上	智能智造产品总监 	北京,广州,上海	国之重企 机械、工业互联	60-75万	2019-05-09	https://m.liepin.com/a/14411285.shtml	
8	5年以上 本科或以上	智能化产品经理 	深圳,广州,上海	某知名大型综合央企	75-105万	1个月前	https://m.liepin.com/a/13829219.shtml	
9	5年以上 本科或以上	智能硬件产品总监 	深圳,广州	国内领先的高新技术企业	48-72万	1个月前	https://m.liepin.com/a/13785485.shtml	
10	8年以上 本科或以上	研发总监(智能产品) 	深圳,广州	某技智能行业上市公司	37-67万	13小时前	https://m.liepin.com/a/13330041.shtml	
11	5年以上 本科或以上	产品经理（智能穿戴） 	广州	乐源智能手表	14-22万	2019-04-22	https://m.liepin.com/job/1914773576.shtml	https://m.liepin.com/company/8914045/
12	5年以上 本科或以上	产品总监-企业智能方向 	广州-天河区	今日头条	面议	4小时前	https://m.liepin.com/job/1918826437.shtml	https://m.liepin.com/company/7863078/
13	2年以上 本科或以上	产品经理（智能中台） 	广州-天河区	联通通信	7-16万	11小时前	https://m.liepin.com/job/1919350925.shtml	https://m.liepin.com/company/8208443/
14	经验不限 本科或以上	人工智能产品销售 	广州	英迈	12-22万	1个月前	https://m.liepin.com/job/1917496659.shtml	https://m.liepin.com/company/901598/
15	5年以上 大专或以上	产品经理（智能家居） 	广州-天河区	广州某云计算企业	22-34万	13小时前	https://m.liepin.com/a/14454165.shtml	
16	2年以上 本科或以上	产品经理（智能家居） 	广州	广州某光电科技股份有限公司	24-36万	13小时前	https://m.liepin.com/a/14256357.shtml	
17	5年以上 大专或以上	产品经理（智能家居） 	广州	广东某家云计算有限公司	18-28万	14小时前	https://m.liepin.com/a/14448187.shtml	
18	5年以上 本科或以上	智能服务产品专家/高级专家 	广州	德系新能源车联网公司	30-60万	昨天	https://m.liepin.com/a/14658743.shtml	
19	5年以上 大专或以上	产品经理（智能家居） 	广州-天河区	广东某家云计算有限公司	19-32万	前天	https://m.liepin.com/a/14437581.shtml	
20	3年以上 大专或以上	产品经理（智能硬件产品） 	广州	广州某科技公司	21-35万	前天	https://m.liepin.com/a/14619757.shtml	
21	3年以上 本科或以上	智能服务产品专家/高级专家 	上海,广州	某汽车有限公司	26-52万	2019-05-07	https://m.liepin.com/a/14664375.shtml	
22	5年以上 本科或以上	产品经理（智能化方向） 	广州	国内知名教育集团	30-40万	11小时前	https://m.liepin.com/a/14798569.shtml	
23	3年以上 本科或以上	智能推荐服务资深产品经理/专家 	广州	知名互联网科技企业	30-37万	14小时前	https://m.liepin.com/a/14299885.shtml	
24	5年以上 本科或以上	智能家居产品研发副总监 	广州-海珠区	实地房地产	面议	1个月前	https://m.liepin.com/job/1915772130.shtml	https://m.liepin.com/company/7862753/
25	2年以上 本科或以上	产品经理（智能化产品方向） 	广州-越秀区	申迪	15-30万	13小时前	https://m.liepin.com/job/1918926955.shtml	https://m.liepin.com/company/8067064/
26	5年以上 本科或以上	产品经理（智能化方向） 	广州	卓越教育集团	26-46万	昨天	https://m.liepin.com/job/1919685133.shtml	https://m.liepin.com/company/876848/
27	8年以上 本科或以上	嵌入式研发总监-智能产品 	广州	Michael Page	48-60万	5小时前	https://m.liepin.com/job/1919891589.shtml	https://m.liepin.com/company/1790705/
28	5年以上 本科或以上	产品经理（智能投顾产品） 	广州	广电运通金融电子	18-30万	13小时前	https://m.liepin.com/job/1919870967.shtml	https://m.liepin.com/company/8547388/
29	1年以上 大专或以上	硬件产品经理/智能硬件产品经理 	广州-天河区	广州市联舟电子产品有限公司	6-12万	2019-05-09	https://m.liepin.com/job/1919740223.shtml	https://m.liepin.com/company/9663416/
30	1年以上 大专或以上	品类开发主管（智能便携产品） 	广州-白云区	棒谷网络	10-14万	2019-05-09	https://m.liepin.com/job/1915728822.shtml	https://m.liepin.com/company/1282666/
31	5年以上 本科或以上	产品经理Leader-企业智能方向 	广州-天河区	今日头条	面议	5小时前	https://m.liepin.com/job/1918777627.shtml	https://m.liepin.com/company/7863078/
32	3年以上 大专或以上	产品企划经理（智能小家电） 	广州-番禺区	广州海科电子科技有限公司	12-24万	5小时前	https://m.liepin.com/job/1916065105.shtml	https://m.liepin.com/company/8195728/
33	5年以上 本科或以上	产品总监（信息智能化） 	广州,深圳,武汉	某独角兽企业	48-80万	昨天	https://m.liepin.com/a/14301763.shtml	
34	3年以上 本科或以上	智能推荐服务资深产品经理/专家 	广州-天河区	广州小鹏汽车科技有限公司	24-48万	2019-05-08	https://m.liepin.com/job/1918122255.shtml	https://m.liepin.com/company/8908817/
35	3年以上 本科或以上	K12智能教育产品销售总监 	广州	广州链基智能科技有限公司	24-48万	2019-04-20	https://m.liepin.com/job/1919336781.shtml	https://m.liepin.com/company/9567656/
36	2年以上 中专/中技或以上	物联网智能产品 国内销售专家 	广州-番禺区	广州市璟睿科技有限公司	6-12万	2019-04-24	https://m.liepin.com/job/1918322445.shtml	https://m.liepin.com/company/9474923/
37	3年以上 大专或以上	物联网/智能产品研发工程师 	广州,东莞,深圳	国内知名公司	17-26万	5小时前	https://m.liepin.com/a/14234065.shtml	
38	5年以上 大专或以上	产品经理（智能家居） 	广州	广东某家云计算有限公司	17-28万	前天	https://m.liepin.com/a/14712011.shtml	
39	3年以上 学历不限	人工智能产品经理 (MJ001078) 	广州	欢聚时代	26-52万	前天	https://m.liepin.com/job/1914690808.shtml	https://m.liepin.com/company/930104/
40	3年以上 本科或以上	产品经理（智能家居 物联网） 	广州	WEN-FXY某云计算大数据公司	24-39万	13小时前	https://m.liepin.com/a/14661047.shtml	
41	2年以上 学历不限	大客户销售（人工智能产品） 	广州-天河区	南京云问网络技术有限公司	13-26万	12小时前	https://m.liepin.com/job/1918462923.shtml	https://m.liepin.com/company/9253429/
42	3年以上 本科或以上	产品运营-智能服务事业部-广州 	广州-海珠区	科大讯飞	面议	1个月前	https://m.liepin.com/job/1918703499.shtml	https://m.liepin.com/company/4454894/
43	5年以上 本科或以上	商务拓展（智能催收产品）-01232 	广州-天河区	同盾科技	面议	昨天	https://m.liepin.com/job/1915376207.shtml	https://m.liepin.com/company/8166029/
44	5年以上 本科或以上	商务经理（智能催收产品）-01232 	广州-天河区	同盾科技	面议	昨天	https://m.liepin.com/job/1915387543.shtml	https://m.liepin.com/company/8166029/
45	10年以上 本科或以上	互联网智能服务产品副总监/资深专家 	广州-黄埔区	广州小鹏汽车科技有限公司	48-84万	2019-05-08	https://m.liepin.com/job/1919707553.shtml	https://m.liepin.com/company/8908817/
46	3年以上 大专或以上	大客户销售（AI人工智能产品） 	广州-天河区	南京云问网络技术有限公司	12-18万	12小时前	https://m.liepin.com/job/1918606727.shtml	https://m.liepin.com/company/9253429/
47	3年以上 本科或以上	高级销售经理（商用智能产品事业部） 	广州	佳都新太科技	面议	1个月前	https://m.liepin.com/job/1915121164.shtml	https://m.liepin.com/company/2115085/
48	5年以上 本科或以上	高级产品解决方案经理(智能安防) 	广州	广州广电银通金融电子科技有限公司	18-42万	1个月前	https://m.liepin.com/job/1914361418.shtml	https://m.liepin.com/company/9394603/
49	3年以上 本科或以上	产品经理（智能视频、人脸识别方向） 	广州	佳都新太科技	面议	2019-05-10	https://m.liepin.com/job/1915091385.shtml	https://m.liepin.com/company/2115085/
50	3年以上 大专或以上	电子硬件工程师(智能家居/手机/平板/手持产品) 	东莞,深圳,广州	东莞某外资电子公司	13-18万	14小时前	https://m.liepin.com/a/14789579.shtml	
