	expr	job_title	location_company	name_company	salary	time	url	url_company
0	3年以上 本科或以上	数据产品经理 	杭州-西湖区	涂鸦智能	18-36万	12小时前	https://m.liepin.com/job/1916770105.shtml	https://m.liepin.com/company/8347186/
1	5年以上 本科或以上	数据产品经理 	杭州	浙江汇信科技有限公司	21-28万	14小时前	https://m.liepin.com/job/1919173247.shtml	https://m.liepin.com/company/8611011/
2	3年以上 本科或以上	数据产品经理 	杭州	老板电器	14-24万	2019-05-10	https://m.liepin.com/job/1912743199.shtml	https://m.liepin.com/company/3349721/
3	经验不限 学历不限	数据产品经理 	杭州-西湖区	格家网络技术	18-30万	2019-05-06	https://m.liepin.com/job/1919629167.shtml	https://m.liepin.com/company/8667454/
4	3年以上 本科或以上	数据产品经理 	杭州	51公积金管家	32-48万	2019-04-23	https://m.liepin.com/job/1915849571.shtml	https://m.liepin.com/company/8309519/
5	3年以上 本科或以上	数据产品经理 	杭州	浙江丹鸟物流科技有限公司	面议	2019-04-16	https://m.liepin.com/job/1915803403.shtml	https://m.liepin.com/company/8142144/
6	3年以上 本科或以上	数据产品经理 	杭州	杭州友电科技有限公司	18-30万	1个月前	https://m.liepin.com/job/1918985977.shtml	https://m.liepin.com/company/9890895/
7	5年以上 本科或以上	数据产品 	杭州	某国内知名互联网企业	32-45万	1个月前	https://m.liepin.com/a/13546767.shtml	
8	3年以上 本科或以上	数据产品经理 	杭州	国内大型综合互联网金融公司	24-48万	12小时前	https://m.liepin.com/a/14100719.shtml	
9	3年以上 本科或以上	数据产品经理 	杭州	B轮专注于无线充电技术为基础的综合科技公司	22-45万	14小时前	https://m.liepin.com/a/14733159.shtml	
10	3年以上 本科或以上	数据产品经理 	杭州,上海	国内知名B+数亿人民币融资企业	18-36万	14小时前	https://m.liepin.com/a/14434111.shtml	
11	4年以上 本科或以上	数据产品经理 	杭州,上海	国内知名互联网公司	31-46万	15小时前	https://m.liepin.com/a/14772063.shtml	
12	3年以上 本科或以上	数据产品经理 	杭州	某知名互联网企业全资控股子公司	26-32万	昨天	https://m.liepin.com/a/14624885.shtml	
13	3年以上 本科或以上	数据产品经理 	杭州	共享充电创业公司	37-52万	昨天	https://m.liepin.com/a/14783005.shtml	
14	5年以上 学历不限	数据产品专家 	杭州	某知名汽车集团	78-114万	昨天	https://m.liepin.com/a/14482545.shtml	
15	3年以上 本科或以上	数据产品经理 	杭州-滨江区	大型电商公司和地方政府合资	40-80万	前天	https://m.liepin.com/a/13307217.shtml	
16	3年以上 本科或以上	数据产品经理 	杭州-滨江区	国内某知名互联网公司	29-58万	前天	https://m.liepin.com/a/14604223.shtml	
17	5年以上 本科或以上	数据产品经理 	北京,杭州,上海	全球某知名互联网公司（上市）	45-90万	2019-05-09	https://m.liepin.com/a/13467319.shtml	
18	4年以上 学历不限	数据产品专家 	杭州	某知名互联网公司	32-52万	2019-05-06	https://m.liepin.com/a/14641261.shtml	
19	5年以上 本科或以上	数据产品经理 	杭州	国内一线互联网	60-84万	2019-05-06	https://m.liepin.com/a/14131665.shtml	
20	3年以上 学历不限	数据产品经理 	上海,杭州,南京	某GMV100亿以上的社交电商公司	45-75万	2019-05-05	https://m.liepin.com/a/14592797.shtml	
21	5年以上 学历不限	数据产品专家 	上海,北京,杭州	某一线互联网新零售事业部	40-64万	2019-04-30	https://m.liepin.com/a/13818367.shtml	
22	5年以上 本科或以上	数据产品经理 	杭州-西湖区	国内知名互联网公司	32-52万	2019-04-19	https://m.liepin.com/a/14353235.shtml	
23	10年以上 本科或以上	数据产品leader 	杭州	某知名头部互联网公司	72-120万	2019-04-19	https://m.liepin.com/a/13826733.shtml	
24	8年以上 本科或以上	数据产品总监 	杭州	国内知名大数据风控服务公司	75-105万	2019-04-17	https://m.liepin.com/a/12851079.shtml	
25	3年以上 本科或以上	数据产品经理 	杭州-拱墅区	某家装设计公司	22-34万	2019-04-17	https://m.liepin.com/a/13536015.shtml	
26	5年以上 本科或以上	数据产品总监 	北京,杭州,上海	知名互联网公司	128-176万	1个月前	https://m.liepin.com/a/13486785.shtml	
27	3年以上 本科或以上	数据产品经理 	杭州,上海	国内一线互联网公司	48-72万	1个月前	https://m.liepin.com/a/13688747.shtml	
28	5年以上 本科或以上	数据产品经理 	杭州-滨江区	某一线互联网公司的全资子公司	32-64万	1个月前	https://m.liepin.com/a/14111589.shtml	
29	5年以上 本科或以上	数据产品经理 	杭州,北京	第三方支付平台	34-54万	1个月前	https://m.liepin.com/a/14061621.shtml	
30	5年以上 本科或以上	数据产品经理 	杭州,北京	第三方支付平台	34-54万	1个月前	https://m.liepin.com/a/14061529.shtml	
31	3年以上 本科或以上	数据产品专家 	杭州	数字智能科技公司	40-80万	1个月前	https://m.liepin.com/a/13240209.shtml	
32	3年以上 本科或以上	数据产品经理 	杭州	支付宝（中国）网络技术有限公司	40-64万	1个月前	https://m.liepin.com/job/1917189017.shtml	https://m.liepin.com/company/9410142/
33	3年以上 本科或以上	数据产品经理 	上海,杭州,北京	某知名互联网公司	35-49万	1个月前	https://m.liepin.com/a/13292677.shtml	
34	3年以上 本科或以上	数据产品经理 	杭州	袋鼠云	15-25万	1个月前	https://m.liepin.com/job/1916941371.shtml	https://m.liepin.com/company/8863498/
