	expr	job_title	location_company	name_company	salary	time	url	url_company
0	5年以上 本科或以上	智能产品经理 	杭州	重庆紫光华山智安科技有限公司	35-49万	1个月前	https://m.liepin.com/job/1916913571.shtml	https://m.liepin.com/company/9703146/
1	3年以上 本科或以上	智能硬件产品经理 	杭州	涂鸦智能	23-38万	12小时前	https://m.liepin.com/job/1915464736.shtml	https://m.liepin.com/company/8347186/
2	3年以上 本科或以上	智能硬件产品经理 	杭州-滨江区	浙江古茗科技有限公司	12-18万	2019-05-07	https://m.liepin.com/job/1919021147.shtml	https://m.liepin.com/company/8978150/
3	3年以上 本科或以上	智能客服产品经理 	杭州	网易集团	面议	1个月前	https://m.liepin.com/job/1915002849.shtml	https://m.liepin.com/company/5964833/
4	经验不限 本科或以上	智能硬件产品经理 	杭州	杭州点望科技	18-30万	2019-05-05	https://m.liepin.com/job/1919612977.shtml	https://m.liepin.com/company/8049198/
5	3年以上 本科或以上	智能硬件产品经理 	杭州	杭州点望科技	12-24万	1个月前	https://m.liepin.com/job/1914999703.shtml	https://m.liepin.com/company/8049198/
6	3年以上 本科或以上	智能仓储产品经理 	杭州-萧山区	云集共享科技有限公司	18-36万	昨天	https://m.liepin.com/job/1918432725.shtml	https://m.liepin.com/company/8903456/
7	5年以上 本科或以上	智能客服产品 	杭州	某浏览器公司	48-64万	2019-05-06	https://m.liepin.com/a/13803293.shtml	
8	3年以上 本科或以上	智能硬件产品经理 	杭州	杭州某科技公司	25-35万	8小时前	https://m.liepin.com/a/13722587.shtml	
9	5年以上 本科或以上	智能设备产品专家 	杭州	全球知名互联网公司	40-80万	13小时前	https://m.liepin.com/a/13844567.shtml	
10	3年以上 本科或以上	智能服务产品经理 	杭州	国内某知名互联网公司	26-52万	13小时前	https://m.liepin.com/a/13321271.shtml	
11	3年以上 学历不限	智能硬件产品经理 	杭州,上海,江苏	某知名互联网公司	22-37万	2019-04-24	https://m.liepin.com/a/13683463.shtml	
12	5年以上 本科或以上	智能硬件产品专家 	杭州	国内某知名互联网公司	40-64万	1个月前	https://m.liepin.com/a/13964647.shtml	
13	5年以上 本科或以上	智能设备产品专家 	杭州,上海	某一线互联网公司	34-48万	1个月前	https://m.liepin.com/a/14061603.shtml	
14	3年以上 本科或以上	智能产品运营专家 	杭州	国内一线互联网公司平台	47-66万	7小时前	https://m.liepin.com/a/14806405.shtml	
15	5年以上 本科或以上	智能设备产品专家 	杭州,上海,北京	国内Top互联网公司	48-96万	2019-05-05	https://m.liepin.com/a/13647391.shtml	
16	5年以上 本科或以上	智能硬件产品经理 	上海,杭州	国内某人工智能知名公司	60-90万	前天	https://m.liepin.com/a/14106025.shtml	
17	3年以上 本科或以上	智能硬件产品经理 	杭州-滨江区	xxx是用人工智能和机器人技术产品与解决方案的高科技企业	26-32万	2019-04-23	https://m.liepin.com/a/14432239.shtml	
18	3年以上 本科或以上	智能硬件产品经理 	杭州	浙江居利威物联科技有限公司	18-30万	昨天	https://m.liepin.com/job/1919254733.shtml	https://m.liepin.com/company/10013907/
19	3年以上 本科或以上	智能硬件产品经理 	杭州-西湖区	杭州光粒科技有限公司	17-21万	10小时前	https://m.liepin.com/job/1918340959.shtml	https://m.liepin.com/company/9233228/
20	1年以上 本科或以上	智能交通产品经理 	杭州	宇视科技	12-15万	13小时前	https://m.liepin.com/job/197633696.shtml	https://m.liepin.com/company/6623506/
21	5年以上 本科或以上	智能零售产品专家 	杭州-余杭区	奇点云	30-60万	13小时前	https://m.liepin.com/job/1916240187.shtml	https://m.liepin.com/company/9099338/
22	6年以上 本科或以上	智能硬件产品经理 	杭州	杭州气味王国科技有限公司	21-35万	前天	https://m.liepin.com/job/1919457043.shtml	https://m.liepin.com/company/10019763/
23	3年以上 本科或以上	智能包装产品经理 	杭州-西湖区	浙江甲骨文超级码科技股份有限公司	18-24万	前天	https://m.liepin.com/job/1918464219.shtml	https://m.liepin.com/company/8026203/
24	3年以上 本科或以上	智能硬件产品经理 	杭州-西湖区	杭州企鹅科技有限公司	19-31万	2019-05-10	https://m.liepin.com/job/1919325083.shtml	https://m.liepin.com/company/9462773/
25	5年以上 本科或以上	智能系统产品经理 	杭州-西湖区	浙江意博高科技术有限公司	1-2万	2019-05-06	https://m.liepin.com/job/1916056511.shtml	https://m.liepin.com/company/8392982/
26	2年以上 本科或以上	智能交通产品经理 	杭州	宇视科技	12-15万	2019-04-19	https://m.liepin.com/job/1916177423.shtml	https://m.liepin.com/company/6623506/
27	5年以上 本科或以上	智能硬件产品经理 	杭州	国内TOP2互联网巨头	48-96万	15小时前	https://m.liepin.com/a/14144473.shtml	
28	5年以上 本科或以上	智能交通产品经理 	杭州	浙江综合交通大数据中心有限公司	面议	2019-05-10	https://m.liepin.com/job/1917299799.shtml	https://m.liepin.com/company/9372295/
29	3年以上 本科或以上	智能客服产品运营 	杭州,香港	国内知名互联网公司	42-60万	昨天	https://m.liepin.com/a/14779113.shtml	
30	2年以上 本科或以上	智能硬件高级产品总监 	杭州	知名互联网 云计算	80-128万	14小时前	https://m.liepin.com/a/13864453.shtml	
31	3年以上 本科或以上	海外智能硬件产品经理 	杭州-西湖区	涂鸦智能	18-30万	12小时前	https://m.liepin.com/job/1916797611.shtml	https://m.liepin.com/company/8347186/
32	5年以上 本科或以上	智能家居产品经理 	杭州-江干区	巨星科技	面议	14小时前	https://m.liepin.com/job/1915510516.shtml	https://m.liepin.com/company/8112400/
33	5年以上 本科或以上	智能设备高级产品专家 	杭州	知名互联网公司	30-48万	2019-05-08	https://m.liepin.com/a/13839721.shtml	
34	5年以上 本科或以上	人工智能产品经理 	北京,杭州	某知名互联网公司	39-65万	2019-05-06	https://m.liepin.com/a/14640281.shtml	
35	10年以上 本科或以上	智能硬件高级产品专家 	杭州	国内某知名互联网巨头公司	80-128万	1个月前	https://m.liepin.com/a/13933701.shtml	
36	4年以上 本科或以上	人工智能产品经理 	杭州-滨江区	仟金顶	面议	昨天	https://m.liepin.com/job/1916524229.shtml	https://m.liepin.com/company/8394690/
37	3年以上 硕士或以上	智能运维产品经理 	杭州	财通证券	18-24万	7小时前	https://m.liepin.com/job/1919550581.shtml	https://m.liepin.com/company/979118/
38	3年以上 硕士或以上	人工智能产品经理 	杭州	杭州艾耕科技有限公司	30-60万	14小时前	https://m.liepin.com/job/1917302579.shtml	https://m.liepin.com/company/9594953/
39	3年以上 本科或以上	智能互联APP产品经理 	杭州-滨江区	贵安新区新特电动汽车工业有限公司	18-24万	1个月前	https://m.liepin.com/job/1916113325.shtml	https://m.liepin.com/company/9391251/
40	经验不限 学历不限	智能客服产品运营专员 	杭州	浙江爱客智能科技有限责任公司	7-10万	1个月前	https://m.liepin.com/job/1916070697.shtml	https://m.liepin.com/company/9424141/
41	5年以上 本科或以上	人工智能产品专家 	杭州	阿里巴巴	39-78万	1个月前	https://m.liepin.com/job/1917428911.shtml	https://m.liepin.com/company/1072424/
42	3年以上 大专或以上	智能产品事业部经理 	杭州	浙江汇丰建材有限公司	面议	2019-05-05	https://m.liepin.com/job/1912532410.shtml	https://m.liepin.com/company/8236586/
43	3年以上 本科或以上	智能硬件产品运营专家 	杭州	淘宝天下传媒有限公司	30-50万	1个月前	https://m.liepin.com/rpojob/24412/	
44	3年以上 本科或以上	产品经理（智能硬件） 	杭州-余杭区	国内一线国有企业公司	24-36万	昨天	https://m.liepin.com/a/14784059.shtml	
45	5年以上 学历不限	智能语音商业化产品经理 	杭州	同盾科技	面议	2019-05-08	https://m.liepin.com/job/1919714975.shtml	https://m.liepin.com/company/8166029/
46	3年以上 本科或以上	产品经理（智能二部） 	杭州	杭州智趣智能信息技术有限公司	12-24万	2019-04-24	https://m.liepin.com/job/1915935619.shtml	https://m.liepin.com/company/9547999/
47	5年以上 本科或以上	菜鸟-智能硬件产品经理 	杭州	菜鸟网络	24-54万	1个月前	https://m.liepin.com/job/1915829350.shtml	https://m.liepin.com/company/8488703/
48	3年以上 本科或以上	产品经理（智能座舱） 	杭州	浙江卡尔特汽车科技有限公司	23-39万	2019-05-09	https://m.liepin.com/job/1916849811.shtml	https://m.liepin.com/company/9337696/
49	3年以上 本科或以上	产品经理（智能硬件） 	杭州	中国移动杭州研发中心	24-46万	1个月前	https://m.liepin.com/job/1916546305.shtml	https://m.liepin.com/company/8159456/
50	5年以上 本科或以上	产品经理（智能招商） 	杭州-滨江区	火石创造	24-36万	3小时前	https://m.liepin.com/job/1916596493.shtml	https://m.liepin.com/company/8583359/
51	3年以上 本科或以上	智能家居APP产品经理 	杭州	巨星科技	面议	14小时前	https://m.liepin.com/job/1914935059.shtml	https://m.liepin.com/company/8112400/
52	2年以上 硕士或以上	产品经理（人工智能） 	杭州	XX网	21-42万	前天	https://m.liepin.com/a/13851181.shtml	
53	2年以上 硕士或以上	产品经理（人工智能） 	杭州	XX网	19-39万	2019-05-07	https://m.liepin.com/a/13660585.shtml	
