	expr	job_title	location_company	name_company	salary	time	url	url_company
0	10年以上 本科或以上	数据产品总监 	上海-长宁区	安捷力	面议	9小时前	https://m.liepin.com/job/1917723555.shtml	https://m.liepin.com/company/922177/
1	3年以上 本科或以上	数据产品经理 	上海	韩创科技	18-30万	10小时前	https://m.liepin.com/job/1918926571.shtml	https://m.liepin.com/company/8944255/
2	3年以上 本科或以上	数据产品经理 	上海-徐汇区	上海数联医信企业发展有限公司	面议	13小时前	https://m.liepin.com/job/1915083577.shtml	https://m.liepin.com/company/9563971/
3	3年以上 大专或以上	数据产品经理 	上海	巨人网络	21-42万	13小时前	https://m.liepin.com/job/1914986803.shtml	https://m.liepin.com/company/7871067/
4	3年以上 本科或以上	数据产品经理 	上海	永辉云创	23-46万	13小时前	https://m.liepin.com/job/1919357995.shtml	https://m.liepin.com/company/9505475/
5	3年以上 本科或以上	数据产品经理 	上海-浦东新区	容易网	24-42万	14小时前	https://m.liepin.com/job/1919823767.shtml	https://m.liepin.com/company/8939365/
6	2年以上 本科或以上	数据产品经理 	上海	上海东福网络科技有限公司	20-36万	15小时前	https://m.liepin.com/job/1915775336.shtml	https://m.liepin.com/company/8542118/
7	5年以上 本科或以上	数据产品 	上海	国内知名金融公司	30-60万	1个月前	https://m.liepin.com/a/13559033.shtml	
8	5年以上 本科或以上	数据产品 	上海	国内知名金融公司	48-72万	1个月前	https://m.liepin.com/a/13335171.shtml	
9	3年以上 本科或以上	数据产品 	上海-杨浦区	某上市第三方广告公司	30-52万	2019-04-18	https://m.liepin.com/a/11018334.shtml	
10	5年以上 本科或以上	数据产品经理 	上海-长宁区	全球数字能源技术领军企业	45-90万	5小时前	https://m.liepin.com/a/14187497.shtml	
11	5年以上 学历不限	数据产品总监 	北京,上海,广州	某商业咨询及解决方案公司	45-90万	8小时前	https://m.liepin.com/a/14439477.shtml	
12	2年以上 本科或以上	数据产品经理 	北京,上海,深圳	国际互联网企业	32-54万	12小时前	https://m.liepin.com/a/14797275.shtml	
13	3年以上 本科或以上	数据产品经理 	上海-静安区	上海数据交易中心	18-30万	14小时前	https://m.liepin.com/a/14418217.shtml	
14	5年以上 本科或以上	数据产品经理 	上海-徐汇区	北京知名移动互联网信息分发服务公司	45-75万	14小时前	https://m.liepin.com/a/14540611.shtml	
15	5年以上 本科或以上	数据产品经理 	上海-浦东新区	互联网医疗平台 - 助力基层医生成为慢病管理专家	26-39万	14小时前	https://m.liepin.com/a/14672065.shtml	
16	3年以上 本科或以上	数据产品经理 	杭州,上海	国内知名B+数亿人民币融资企业	18-36万	14小时前	https://m.liepin.com/a/14434111.shtml	
17	5年以上 本科或以上	数据产品总监 	上海-虹口区	国内知名游戏行业公司	37-60万	14小时前	https://m.liepin.com/a/14078787.shtml	
18	3年以上 本科或以上	数据产品经理 	上海	上海某科技公司	24-48万	14小时前	https://m.liepin.com/a/14380065.shtml	
19	4年以上 本科或以上	数据产品经理 	杭州,上海	国内知名互联网公司	31-46万	15小时前	https://m.liepin.com/a/14772063.shtml	
20	3年以上 本科或以上	数据产品经理 	上海	国内某信息科技公司	36-42万	昨天	https://m.liepin.com/a/14733569.shtml	
21	8年以上 本科或以上	数据产品总监 	上海	上海某信息系统有限公司	36-48万	昨天	https://m.liepin.com/a/13329139.shtml	
22	6年以上 本科或以上	数据产品经理 	上海-杨浦区	爱回收	面议	昨天	https://m.liepin.com/job/1919783629.shtml	https://m.liepin.com/company/7868039/
23	3年以上 本科或以上	数据产品经理 	上海-浦东新区	社交app	32-45万	昨天	https://m.liepin.com/a/14431809.shtml	
24	经验不限 学历不限	数据产品专家 	上海-徐汇区	游族	24-46万	昨天	https://m.liepin.com/job/1918931803.shtml	https://m.liepin.com/company/8465573/
25	3年以上 本科或以上	数据产品经理 	上海	知名信息科技平台	36-42万	昨天	https://m.liepin.com/a/14729485.shtml	
26	5年以上 本科或以上	数据产品经理 	上海	某知名500强金融企业	30-45万	昨天	https://m.liepin.com/a/13661523.shtml	
