	expr	job_title	location_company	name_company	salary	time	url	url_company
0	5年以上 本科或以上	智能产品硬件工程师 	上海-闵行区	西蒙	13-33万	23小时前	https://m.liepin.com/job/1912919860.shtml	https://m.liepin.com/company/8022925/
1	4年以上 本科或以上	智能产品经理 	上海	上海博者软件系统有限公司	12-18万	1个月前	https://m.liepin.com/job/1917264491.shtml	https://m.liepin.com/company/9713503/
2	3年以上 本科或以上	智能产品经理 	上海	爱驰汽车	面议	昨天	https://m.liepin.com/job/1918932039.shtml	https://m.liepin.com/company/9146383/
3	3年以上 本科或以上	智能产品经理 	上海-徐汇区	上海肯耐珂萨人力资源科技股份有限公司	24-48万	1个月前	https://m.liepin.com/job/1917146305.shtml	https://m.liepin.com/company/9724007/
4	5年以上 本科或以上	智能平台产品经理 	上海-静安区	合合信息	36-48万	1个月前	https://m.liepin.com/job/1919044515.shtml	https://m.liepin.com/company/7862267/
5	5年以上 本科或以上	智能平台产品经理 	上海	合合信息	面议	1个月前	https://m.liepin.com/job/1918832681.shtml	https://m.liepin.com/company/7862267/
6	3年以上 大专或以上	智能设备产品经理 	上海	上海阅安信息科技有限公司	16-30万	6小时前	https://m.liepin.com/job/1914211245.shtml	https://m.liepin.com/company/9548711/
7	5年以上 本科或以上	智能产品总监 	深圳,上海	某大型知名公司	67-97万	1个月前	https://m.liepin.com/a/14234509.shtml	
8	3年以上 大专或以上	智能硬件产品经理 	北京,上海,广东	XX集团	54-108万	9小时前	https://m.liepin.com/a/13911109.shtml	
9	10年以上 本科或以上	智能智造产品总监 	北京,广州,上海	国之重企 机械、工业互联	60-75万	2019-05-09	https://m.liepin.com/a/14411285.shtml	
10	3年以上 学历不限	智能硬件产品经理 	杭州,上海,江苏	某知名互联网公司	22-37万	2019-04-24	https://m.liepin.com/a/13683463.shtml	
11	5年以上 本科或以上	智能设备产品专家 	杭州,上海	某一线互联网公司	34-48万	1个月前	https://m.liepin.com/a/14061603.shtml	
12	5年以上 学历不限	智能平台产品总监 	上海	知名科技发展有限公司	48-48万	6小时前	https://m.liepin.com/a/14463393.shtml	
13	5年以上 本科或以上	智能设备产品专家 	杭州,上海,北京	国内Top互联网公司	48-96万	2019-05-05	https://m.liepin.com/a/13647391.shtml	
14	3年以上 学历不限	智能硬件产品经理 	上海	某智能硬件产品公司	30-48万	15小时前	https://m.liepin.com/a/13671919.shtml	
15	5年以上 本科或以上	智能硬件产品经理 	上海,杭州	国内某人工智能知名公司	60-90万	前天	https://m.liepin.com/a/14106025.shtml	
16	3年以上 本科或以上	智能硬件产品经理 	上海-长宁区	上海细微信息咨询有限公司	24-48万	2019-05-09	https://m.liepin.com/job/1919733737.shtml	https://m.liepin.com/company/9484343/
17	10年以上 本科或以上	智能硬件产品经理 	上海	上海博者软件系统有限公司	面议	2019-05-08	https://m.liepin.com/job/1919702399.shtml	https://m.liepin.com/company/9713503/
18	3年以上 本科或以上	智能硬件产品经理 	上海-青浦区	上海数迹智能科技有限公司	17-22万	1个月前	https://m.liepin.com/job/1918493865.shtml	https://m.liepin.com/company/9259734/
19	5年以上 本科或以上	高级智能产品经理 	上海	欧普照明	面议	7小时前	https://m.liepin.com/job/1918432193.shtml	https://m.liepin.com/company/1566181/
20	2年以上 本科或以上	智能硬件产品经理 	上海-徐汇区	阿里文化基因的“互联网+”B轮创业型公司	18-30万	2019-05-08	https://m.liepin.com/a/14679799.shtml	
21	1年以上 本科或以上	智能硬件产品经理 	上海-徐汇区	B轮融资健身行业独角兽	19-26万	2019-05-05	https://m.liepin.com/a/13517213.shtml	
22	4年以上 本科或以上	智能驾驶产品经理 	上海,江苏,浙江	国内某某知名科技公司	48-72万	1个月前	https://m.liepin.com/a/14277209.shtml	
23	5年以上 本科或以上	智能硬件产品VP 	北京,上海,深圳	北京某网络技术有限公司	36-48万	1个月前	https://m.liepin.com/a/14065527.shtml	
24	5年以上 本科或以上	智能硬件产品总监 	上海,合肥,深圳	国内上市	75-105万	1个月前	https://m.liepin.com/a/13968735.shtml	
25	5年以上 本科或以上	智能化产品经理 	深圳,广州,上海	某知名大型综合央企	75-105万	1个月前	https://m.liepin.com/a/13829219.shtml	
26	1年以上 本科或以上	智能硬件产品经理 	上海-闵行区	国内知名互联网公司	24-36万	14小时前	https://m.liepin.com/a/14336713.shtml	
27	5年以上 本科或以上	高级智能产品经理 	上海	欧普照明	面议	2019-05-05	https://m.liepin.com/job/1919621807.shtml	https://m.liepin.com/company/1566181/
28	4年以上 本科或以上	智能平台产品总监 	上海	猎头	32-65万	2019-04-22	https://m.liepin.com/a/14405935.shtml	
29	3年以上 本科或以上	智能前端产品经理 	上海-徐汇区	上海迪维欧电子设备有限公司	14-22万	1个月前	https://m.liepin.com/job/1918638501.shtml	https://m.liepin.com/company/7913694/
