	expr	job_title	location_company	name_company	salary	time	url	url_company
0	3年以上 本科或以上	数据产品经理 	深圳	大地零一（深圳）科技有限公司	18-36万	14小时前	https://m.liepin.com/job/1919382195.shtml	https://m.liepin.com/company/9549803/
1	3年以上 硕士或以上	数据产品经理 	深圳	滴滴优点科技（深圳）有限公司	30-38万	3小时前	https://m.liepin.com/job/1919150447.shtml	https://m.liepin.com/company/9138282/
2	3年以上 本科或以上	数据产品经理 	深圳-南山区	今日头条	面议	6小时前	https://m.liepin.com/job/1918699515.shtml	https://m.liepin.com/company/7863078/
3	2年以上 本科或以上	数据产品经理 	深圳-南山区	深圳市随手科技有限公司	18-35万	7小时前	https://m.liepin.com/job/1917226649.shtml	https://m.liepin.com/company/9269665/
4	3年以上 本科或以上	数据产品经理 	深圳	深圳大宇无限科技有限公司	22-42万	13小时前	https://m.liepin.com/job/1917275539.shtml	https://m.liepin.com/company/8682349/
5	3年以上 本科或以上	数据产品经理 	深圳	深圳碳原子科技有限公司	面议	前天	https://m.liepin.com/job/1915713518.shtml	https://m.liepin.com/company/8452681/
6	3年以上 本科或以上	数据产品经理 	深圳	载信软件	17-31万	前天	https://m.liepin.com/job/1918213959.shtml	https://m.liepin.com/company/8444665/
7	2年以上 本科或以上	数据产品经理 	北京,上海,深圳	国际互联网企业	32-54万	12小时前	https://m.liepin.com/a/14797275.shtml	
8	5年以上 本科或以上	数据产品经理 	深圳	电商平台新秀	24-42万	13小时前	https://m.liepin.com/a/14796683.shtml	
9	5年以上 本科或以上	数据产品经理 	深圳	深圳某知名互联网企业	26-45万	13小时前	https://m.liepin.com/a/14562761.shtml	
10	3年以上 本科或以上	数据产品经理 	深圳-南山区	某独角兽自媒体电商公司	32-45万	14小时前	https://m.liepin.com/a/14679063.shtml	
11	3年以上 本科或以上	数据产品经理 	深圳,广州	知名互联网上市集团公司	37-67万	昨天	https://m.liepin.com/a/14710335.shtml	
12	5年以上 本科或以上	数据产品经理 	深圳	国内知名互联网+物流公司	42-84万	昨天	https://m.liepin.com/a/13377775.shtml	
13	3年以上 本科或以上	数据产品经理 	深圳	某智能资管金融科技公司	39-52万	前天	https://m.liepin.com/a/14476865.shtml	
14	5年以上 本科或以上	数据产品经理 	深圳-南山区	智仁百纳	19-32万	前天	https://m.liepin.com/a/14409027.shtml	
15	5年以上 本科或以上	数据产品经理 	北京,上海,深圳	知名互联网公司	52-78万	2019-05-08	https://m.liepin.com/a/13721949.shtml	
16	3年以上 本科或以上	数据产品经理 	深圳-南山区	国内知名金融科技公司	36-42万	2019-05-06	https://m.liepin.com/a/14477091.shtml	
17	2年以上 大专或以上	数据产品经理 	深圳	国内知名互联网公司	24-42万	2019-05-06	https://m.liepin.com/a/14630173.shtml	
18	3年以上 本科或以上	数据产品经理 	深圳	投哪网	22-29万	2019-04-30	https://m.liepin.com/job/1919571971.shtml	https://m.liepin.com/company/8038351/
19	3年以上 本科或以上	数据产品经理 	深圳	国内某知名公司	32-52万	2019-04-30	https://m.liepin.com/a/14546093.shtml	
20	3年以上 本科或以上	数据产品经理 	深圳	国内知名互联网公司	48-80万	2019-04-30	https://m.liepin.com/a/13708917.shtml	
21	2年以上 本科或以上	数据产品经理 	深圳-福田区	知名保险公司	29-58万	2019-04-29	https://m.liepin.com/a/14530609.shtml	
22	5年以上 本科或以上	数据产品经理 	深圳	深圳某科技有限公司	39-58万	2019-04-28	https://m.liepin.com/a/14526733.shtml	
23	2年以上 本科或以上	数据产品经理 	深圳	深圳某科技有限公司	24-42万	2019-04-24	https://m.liepin.com/a/14475115.shtml	
24	1年以上 本科或以上	数据产品经理 	深圳-南山区,深圳-宝安区	一线互联网公司	40-80万	2019-04-23	https://m.liepin.com/a/14437133.shtml	
25	3年以上 本科或以上	数据产品经理 	深圳,北京	  某金融集团旗下公司 	24-48万	2019-04-19	https://m.liepin.com/a/13708323.shtml	
26	5年以上 本科或以上	数据产品经理 	深圳	知名科技公司	60-90万	1个月前	https://m.liepin.com/a/14293107.shtml	
27	5年以上 学历不限	数据产品专家 	北京,深圳,上海	中国网络视频行业的知名企业	30-60万	1个月前	https://m.liepin.com/a/14265661.shtml	
28	3年以上 本科或以上	数据产品经理 	深圳-南山区	国内某知名互联网公司（BAT之一）	37-72万	1个月前	https://m.liepin.com/a/13486845.shtml	
29	1年以上 本科或以上	数据产品经理 	深圳	某500强金融集团下属金融科技子公司	27-45万	1个月前	https://m.liepin.com/a/13826847.shtml	
30	5年以上 本科或以上	数据产品经理 	上海,深圳	某人工智能企业	36-72万	1个月前	https://m.liepin.com/a/13638147.shtml	
31	3年以上 本科或以上	数据产品经理 	深圳	北京直真科技股份有限公司	24-36万	1个月前	https://m.liepin.com/job/1916756827.shtml	https://m.liepin.com/company/1164155/
32	3年以上 本科或以上	数据产品经理 	深圳-南山区	北京直真科技股份有限公司	28-42万	1个月前	https://m.liepin.com/job/1916726849.shtml	https://m.liepin.com/company/1164155/
33	2年以上 大专或以上	数据产品经理 	深圳	影子数据	10-24万	1个月前	https://m.liepin.com/job/1910964094.shtml	https://m.liepin.com/company/8907817/
34	5年以上 本科或以上	数据产品经理 	深圳-福田区	地上铁租车（深圳）有限公司	22-30万	8小时前	https://m.liepin.com/job/1917317035.shtml	https://m.liepin.com/company/8889691/
35	3年以上 本科或以上	数据产品经理 	深圳-南山区	深圳前海移联科技有限公司	35-56万	昨天	https://m.liepin.com/job/1919834961.shtml	https://m.liepin.com/company/9692165/
36	1年以上 大专或以上	数据产品专员 	深圳	影子数据	7-12万	2019-05-06	https://m.liepin.com/job/1911977944.shtml	https://m.liepin.com/company/8907817/
37	5年以上 本科或以上	数据产品经理 	深圳	知名互联网金融企业	24-36万	2019-04-29	https://m.liepin.com/a/13802383.shtml	
38	3年以上 本科或以上	数据产品经理 	深圳-南山区	威富通科技有限公司	22-36万	1个月前	https://m.liepin.com/job/1918659331.shtml	https://m.liepin.com/company/9684326/
39	3年以上 本科或以上	数据产品经理 	深圳-南山区	威富通科技有限公司	18-42万	1个月前	https://m.liepin.com/job/1918734165.shtml	https://m.liepin.com/company/9684326/
40	3年以上 本科或以上	数据产品经理 	深圳-南山区	威富通科技有限公司	28-42万	1个月前	https://m.liepin.com/job/1918543089.shtml	https://m.liepin.com/company/9684326/
41	4年以上 大专或以上	数据产品经理 	深圳	云之梦科技	21-35万	14小时前	https://m.liepin.com/job/1919229113.shtml	https://m.liepin.com/company/8291865/
42	3年以上 本科或以上	数据产品经理 	深圳-南山区	深圳市紫金支点技术股份有限公司	12-24万	1个月前	https://m.liepin.com/job/1918035801.shtml	https://m.liepin.com/company/9183454/
43	3年以上 本科或以上	数据产品经理 	深圳	国内大型保险金融综合体集团	18-27万	1个月前	https://m.liepin.com/a/13507007.shtml	
44	3年以上 本科或以上	数据产品经理 	深圳-福田区	深圳市致璞科技有限公司	18-24万	12小时前	https://m.liepin.com/job/1919099587.shtml	https://m.liepin.com/company/9968663/
45	5年以上 本科或以上	数据产品经理 	深圳	Michael Page	面议	昨天	https://m.liepin.com/job/1915423285.shtml	https://m.liepin.com/company/1790705/
46	3年以上 本科或以上	数据产品经理 	深圳-南山区	宽拓（北京）科技有限公司	24-42万	2019-05-07	https://m.liepin.com/job/1917667075.shtml	https://m.liepin.com/company/9280209/
47	3年以上 本科或以上	数据产品经理 	深圳	传音控股	18-30万	1个月前	https://m.liepin.com/job/1917667733.shtml	https://m.liepin.com/company/8459640/
48	8年以上 本科或以上	数据产品总监 	深圳	某行业知名公司	42-83万	13小时前	https://m.liepin.com/a/14561265.shtml	
49	2年以上 本科或以上	数据产品经理 	深圳-南山区	知名互联网企业	24-48万	14小时前	https://m.liepin.com/a/14461009.shtml	
50	3年以上 本科或以上	数据产品经理 	深圳-南山区	宽拓（北京）科技有限公司	面议	昨天	https://m.liepin.com/job/1919851977.shtml	https://m.liepin.com/company/9280209/
51	经验不限 本科或以上	数据产品经理 	深圳-南山区	深圳世联行集团股份有限公司	面议	昨天	https://m.liepin.com/job/195759255.shtml	https://m.liepin.com/company/7899366/
52	8年以上 本科或以上	数据产品总监 	深圳	微电研究院	60-96万	前天	https://m.liepin.com/a/14622031.shtml	
53	2年以上 本科或以上	数据产品经理 	北京,上海,深圳	国内知名金融科技集团	51-102万	2019-05-10	https://m.liepin.com/a/14528821.shtml	
54	4年以上 本科或以上	数据产品经理 	深圳-南山区	绿米联创	12-18万	2019-05-10	https://m.liepin.com/job/1918891995.shtml	https://m.liepin.com/company/8335115/
55	经验不限 学历不限	数据产品经理 	深圳	绿米联创	11-18万	2019-05-10	https://m.liepin.com/job/1918897985.shtml	https://m.liepin.com/company/8335115/
56	3年以上 本科或以上	数据产品经理 	深圳	深圳某知名互联网科技公司	60-110万	2019-05-09	https://m.liepin.com/a/14585873.shtml	
57	5年以上 本科或以上	数据产品经理 	深圳	深圳市租电智能科技有限公司	12-24万	2019-05-09	https://m.liepin.com/job/1916145271.shtml	https://m.liepin.com/company/9173127/
58	8年以上 本科或以上	数据产品总监 	深圳-南山区	某内某知名通讯龙头企业	65-78万	2019-05-07	https://m.liepin.com/a/14653531.shtml	
59	2年以上 本科或以上	数据产品经理 	深圳	某知名互联网公司	24-48万	2019-04-22	https://m.liepin.com/a/13849229.shtml	
0	3年以上 硕士或以上	数据产品经理 	深圳-福田区	中证征信（深圳）有限公司	35-49万	2019-04-16	https://m.liepin.com/job/1919218881.shtml	https://m.liepin.com/company/9805459/
1	3年以上 本科或以上	数据产品经理 	上海,深圳	国内某知名互联网公司	36-72万	1个月前	https://m.liepin.com/a/13221511.shtml	
2	3年以上 本科或以上	数据产品经理 	深圳-南山区	某互联网公司	18-30万	1个月前	https://m.liepin.com/a/13974433.shtml	
3	经验不限 本科或以上	数据产品经理 	深圳	安信证券	24-36万	1个月前	https://m.liepin.com/job/1916038411.shtml	https://m.liepin.com/company/8135788/
4	4年以上 本科或以上	数据产品经理 	深圳-南山区	海南高灯科技有限公司	30-45万	1个月前	https://m.liepin.com/job/1916213551.shtml	https://m.liepin.com/company/9468371/
5	3年以上 本科或以上	数据产品经理 	深圳-宝安区	维沃移动通信有限公司（vivo智能手机）	60-96万	1个月前	https://m.liepin.com/job/1916847789.shtml	https://m.liepin.com/company/4787049/
6	3年以上 本科或以上	数据产品经理 	深圳	安信证券	面议	1个月前	https://m.liepin.com/job/1917466177.shtml	https://m.liepin.com/company/8135788/
7	经验不限 学历不限	数据产品经理 	深圳	WeSure微保	18-36万	1个月前	https://m.liepin.com/job/1915830082.shtml	https://m.liepin.com/company/9363507/
8	3年以上 本科或以上	数据产品经理 	深圳	深圳市街角电子商务有限公司	24-48万	前天	https://m.liepin.com/job/1919815945.shtml	https://m.liepin.com/company/8299324/
9	经验不限 大专或以上	数据产品运营 	深圳-福田区	深圳市腾日智能科技有限公司	7-10万	2019-05-07	https://m.liepin.com/job/1918959041.shtml	https://m.liepin.com/company/7920310/
10	3年以上 本科或以上	数据产品经理 	深圳	岩心科技	18-36万	2019-04-25	https://m.liepin.com/job/1919216641.shtml	https://m.liepin.com/company/8640905/
11	8年以上 本科或以上	数据产品总监 	深圳-福田区	佰仟金融	面议	2019-04-18	https://m.liepin.com/job/1916544189.shtml	https://m.liepin.com/company/7893458/
12	3年以上 本科或以上	数据产品经理 	深圳-南山区	深圳乐信软件技术有限公司	18-34万	1个月前	https://m.liepin.com/job/1917806295.shtml	https://m.liepin.com/company/9399388/
13	经验不限 大专或以上	数据产品经理 	深圳	海南新浪爱问普惠科技有限公司	24-31万	1个月前	https://m.liepin.com/job/1916789373.shtml	https://m.liepin.com/company/9323055/
14	4年以上 本科或以上	数据产品经理 	上海,杭州,深圳	中国知名的互联网公司	28-42万	14小时前	https://m.liepin.com/a/14226805.shtml	
15	1年以上 本科或以上	数据产品经理 	深圳	美的集团电商事业部	面议	14小时前	https://m.liepin.com/job/1918411545.shtml	https://m.liepin.com/company/8379212/
16	4年以上 学历不限	数据产品经理 	深圳	知名互联网金融公司	48-60万	前天	https://m.liepin.com/a/14390449.shtml	
17	3年以上 本科或以上	数据产品经理 	深圳	深圳数位传媒科技有限公司	28-42万	2019-05-09	https://m.liepin.com/job/1916371093.shtml	https://m.liepin.com/company/9098502/
18	3年以上 本科或以上	数据产品经理 	深圳	万科建筑技术发展（深圳）有限公司	21-42万	2019-05-08	https://m.liepin.com/job/1918857727.shtml	https://m.liepin.com/company/9965825/
19	2年以上 本科或以上	数据产品经理 	北京,深圳,杭州	某银行	24-48万	1个月前	https://m.liepin.com/a/13590891.shtml	
20	3年以上 本科或以上	数据产品经理 	深圳	深圳回收宝科技有限公司	18-30万	7小时前	https://m.liepin.com/job/1912379405.shtml	https://m.liepin.com/company/8420653/
21	1年以上 本科或以上	数据产品经理 	深圳-罗湖区	深圳市阿卡索资讯股份有限公司	10-18万	8小时前	https://m.liepin.com/job/1919464075.shtml	https://m.liepin.com/company/9556466/
22	3年以上 本科或以上	数据产品经理 	深圳	深圳市海那边科技有限公司	22-30万	13小时前	https://m.liepin.com/job/1916097211.shtml	https://m.liepin.com/company/8384870/
23	2年以上 本科或以上	数据产品经理 	深圳	思迪信息	12-24万	14小时前	https://m.liepin.com/job/1918262475.shtml	https://m.liepin.com/company/7959936/
24	2年以上 本科或以上	数据产品经理 	深圳-南山区	正通汽车	18-30万	7小时前	https://m.liepin.com/job/1917799857.shtml	https://m.liepin.com/company/1015041/
25	2年以上 本科或以上	数据产品经理 	杭州,深圳	国内某大型银行	24-36万	2019-05-08	https://m.liepin.com/a/14658651.shtml	
26	3年以上 本科或以上	数据产品经理 	深圳-南山区	深圳市超级猩猩健身管理有限公司	12-24万	2019-04-18	https://m.liepin.com/job/1914861011.shtml	https://m.liepin.com/company/9340082/
27	5年以上 本科或以上	数据产品经理 	深圳,重庆	知名集团公司	40-72万	1个月前	https://m.liepin.com/a/13971095.shtml	
28	3年以上 本科或以上	数据产品经理 	深圳	深圳市超级猩猩健身管理有限公司	12-24万	1个月前	https://m.liepin.com/job/1916485345.shtml	https://m.liepin.com/company/9340082/
