	expr	job_title	location_company	name_company	salary	time	url	url_company
0	5年以上 硕士或以上	智能产品经理 	深圳	深圳市美之高科技股份有限公司	18-24万	前天	https://m.liepin.com/job/1913133511.shtml	https://m.liepin.com/company/9149346/
1	3年以上 本科或以上	智能产品总监 	深圳	深圳市诚隆人才信息科技有限公司	50-70万	1个月前	https://m.liepin.com/job/1917100891.shtml	https://m.liepin.com/company/9830469/
2	5年以上 本科或以上	智能产品经理 	深圳	裕富照明	13-24万	6小时前	https://m.liepin.com/job/1917521497.shtml	https://m.liepin.com/company/857759/
3	5年以上 本科或以上	智能照明产品经理 	深圳	华彩	面议	12小时前	https://m.liepin.com/job/1915766520.shtml	https://m.liepin.com/company/869348/
4	3年以上 本科或以上	智能硬件产品经理 	深圳-宝安区	珊口（上海）智能科技有限公司	面议	前天	https://m.liepin.com/job/1914244459.shtml	https://m.liepin.com/company/9257229/
5	3年以上 本科或以上	智能硬件产品经理 	深圳	和而泰	18-28万	前天	https://m.liepin.com/job/1916925341.shtml	https://m.liepin.com/company/2664432/
6	2年以上 本科或以上	智能硬件产品经理 	深圳-南山区	绿米联创	14-24万	2019-05-05	https://m.liepin.com/job/1916484219.shtml	https://m.liepin.com/company/8335115/
7	5年以上 本科或以上	智能产品总监 	深圳,上海	某大型知名公司	67-97万	1个月前	https://m.liepin.com/a/14234509.shtml	
8	5年以上 本科或以上	智能产品总监 	深圳	某上市跨境电商	48-72万	14小时前	https://m.liepin.com/a/14175373.shtml	
9	3年以上 本科或以上	智能产品经理 	深圳	IOT物联网公司	42-72万	2019-04-22	https://m.liepin.com/a/14406097.shtml	
10	5年以上 本科或以上	智能硬件产品总监 	深圳	某上市公司	30-60万	14小时前	https://m.liepin.com/a/13772527.shtml	
11	10年以上 本科或以上	智能硬件产品经理 	深圳,合肥	某上市科技有限公司	24-36万	2019-05-06	https://m.liepin.com/a/14421931.shtml	
12	3年以上 本科或以上	智能应用产品经理 	深圳	某金融集团	36-72万	12小时前	https://m.liepin.com/a/13488227.shtml	
