index	cname	code	exp	memo	unit
0	地级区划数	A010101	指地级行政单位即介于省级和县级之间的一级地方行政区域的个数，包括地区、自治州、行政区和盟。		个
1	地级市数	A010102	市是省、自治区内人口较集中，政治、经济、文化等方面较重要的城市。市人民政府为一级地方行政组织。它可属于省、自治区，称省（自治区）辖市，相当地区级。		个
2	县级区划数	A010103	县级行政单位指中国地方二级行政区域，是地方政权的基础。县级行政单位包括县、自治县、旗、自治旗、特区、工农区、林区等。		个
3	市辖区数	A010104	市辖区（简称区）城市基层政权组织的行政区域。直辖市和较大的市多将市区范围划分为若干区，设立区人民政府。		个
4	县级市数	A010105	县级市是中国大陆行政区划名称，行政地位与县相同的县级行政区		个
5	县数	A010106	县级行政区是中国地方一级行政区域。按中国现行行政区域体制，县可属于省、自治区、直辖市，可属于市、自治川，也可由省、自治区的派出机构“地区”、“盟”管辖。		个
6	自治县数	A010107	自治县是相当于县的民族自治地方。		个
7	乡镇级区划数	A010108	县级以下的基层行政区域──乡和镇，是地方三级行政单位。		个
8	镇数	A010109	指报告期末不设区的市、市辖区、县（自治县、旗、自治旗、特区、林区）在辖区内实际设有的镇人民政府个数（必须是经省一级人民政府批准而设置的）。		个
9	乡数	A01010A	指报告期末不设区的市、市辖区、县（自治县、旗、自治旗、特区、林区）在辖区内实际设有的乡人民政府个数（必须是经省一级人民政府批准而设置的）。乡包含民族自治乡。		个
10	街道办事处	A01010B	市辖区和不设区的市，根据行政管理的需要，将其所管辖的地区分为若干街道管理区，设立街道办事处，作为市辖区人民政府或市人民政府的派出机关。		个
11	三次产业法人单位数	A010201			
12	分机构类型法人单位数	A010202			
13	分行业法人单位数	A010203			
14	按控股情况分企业法人单位数	A010301			
15	按登记注册类型分企业法人单位数	A010302			
16	地区生产总值	A020101	国内生产总值(GDP)指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内生产活动的最终成果。国内生产总值有三种表现形态，即价值形态、收入形态和产品形态。从价值形态看，它是所有常住单位在一定时期内生产的全部货物和服务价值与同期投入的全部非固定资产货物和服务价值的差额，即所有常住单位的增加值之和；从收入形态看，它是所有常住单位在一定时期内创造并分配给常住单位和非常住单位的初次收入之和；从产品形态看，它是所有常住单位在一定时期内最终使用的货物和服务价值与货物和服务净出口价值之和。在实际核算中，国内生产总值有三种计算方法，即生产法、收入法和支出法。三种方法分别从不同的方面反映国内生产总值及其构成。按当年价格计算。对于一个地区来说，称为地区生产总值或地区GDP。	本表按当年价格计算。2004年以前地区生产总值数据执行《国民经济行业分类》（GB/T4754-1994），2004-2012年地区生产总值数据执行《国民经济行业分类》（GB/T4754-2002）,三次产业划分根据《三次产业划分规定》（2003）。2013年开始，行业分类执行《国民经济行业分类》（GB/T4754-2011），三次产业划分根据《三次产业划分规定》（2012）。	亿元
17	第一产业增加值	A020102	第一产业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事第一产业生产活动的最终成果。第一产业是指农、林、牧、渔业。		亿元
18	第二产业增加值	A020103	第二产业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事第二产业生产活动的最终成果。第二产业是指采矿业，制造业，电力、煤气及水的生产和供应业，建筑业。		亿元
19	第三产业增加值	A020104	第三产业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事第三产业生产活动的最终成果。第三产业是指除第一、二产业以外的其他行业。		亿元
20	农林牧渔业增加值	A020105			亿元
21	工业增加值	A020106	工业增加值是指工业企业在报告期内以货币形式表现的从事工业生产活动的最终成果。工业增加值有两种计算方法：一是生产法，即工业总产出减去工业中间投入加上应交增值税；二是收入法，即从收入的角度出发，根据生产要素在生产过程中应得到的收入份额计算，具体构成项目有固定资产折旧、劳动者报酬、生产税净额、营业盈余。		亿元
22	建筑业增加值	A020107	建筑业增加值是指建筑业企业在报告期内以货币形式表现的从事建筑业生产活动的最终成果。目前建筑业增加值采用收入法计算，即从收入的角度出发，根据生产要素在生产过程中应得的收入份额计算。		亿元
23	批发和零售业增加值	A020108	批发和零售业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事批发和零售业生产活动的最终成果。		亿元
24	批发和零售贸易餐饮业增加值	A020109	批发和零售贸易餐饮业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事批发和零售贸易餐饮业生产活动的最终成果。		亿元
25	交通运输、仓储和邮政业增加值	A02010A	交通运输、仓储和邮政业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事交通运输、仓储和邮政业生产活动的最终成果。		亿元
26	交通运输、仓储和邮电通信业增加值	A02010B	交通运输、仓储和邮电通信业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事交通运输、仓储和邮电通信业生产活动的最终成果。		亿元
27	住宿和餐饮业增加值	A02010C	住宿和餐饮业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事住宿和餐饮业生产活动的最终成果。		亿元
28	金融业增加值	A02010D	金融业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事金融业生产活动的最终成果。		亿元
29	房地产业增加值	A02010E	房地产业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事房地产业生产活动的最终成果。		亿元
30	其他行业增加值	A02010F	其他行业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事其他行业生产活动的最终成果。		亿元
31	人均地区生产总值	A02010G	人均国内生产总值是指国内生产总值的绝对值与该年平均人口的比值，是衡量一个国家或地区每个居民对该国家或地区的经济贡献或创造价值的指标。		元/人
